names,scores,logfoldchanges,pvals,pvals_adj
PGAM1,20.091648,1.3151653,8.73156882837041e-90,4.0471587446587055e-87
RPS28,-20.079216,-0.3047202,1.1214941339497087e-89,5.108599141198501e-87
RPL23A,-20.074598,-0.28625077,1.2307514321856558e-89,5.511263192939835e-87
PABPC1,-20.072058,-0.78436804,1.2953153633122652e-89,5.703705316451674e-87
RBM17,19.916996,1.561204,2.8986779998249323e-88,1.2554602091045033e-85
ACTB,19.902096,0.8666092,3.90264879900207e-88,1.66303195596185e-85
MAF,19.819174,2.0638847,2.034234119268691e-87,8.530867528742668e-85
RPL9,-19.818003,-0.331937,2.0820696541495684e-87,8.595043791036187e-85
RPL41,-19.80808,-0.26458862,2.5356372605529724e-87,1.030639021904762e-84
RGS1,19.779627,1.9456588,4.459844768352087e-87,1.7852893754524566e-84
ARPC2,19.749647,0.8923039,8.077957100195314e-87,3.1853675610023907e-84
PRDX1,19.708921,1.4135337,1.8077663455748024e-86,7.0237039485421005e-84
RPL7,-19.606415,-0.3616095,1.363097079506685e-85,5.219278962400959e-83
IL2RB,19.522305,1.8368115,7.096398569500524e-85,2.6783835743743405e-82
RAN,19.45956,1.1422058,2.4185484473355427e-84,8.9997253490993e-82
SUMO2,19.426994,0.8740759,4.563146151156065e-84,1.6744211293547672e-81
SRP14,19.411583,0.83900684,6.160070511935877e-84,2.2294392181554224e-81
PIM3,19.342356,1.6185235,2.3642487212953027e-83,8.441006921165122e-81
MYL6,19.23843,0.9314302,1.7647069594456936e-82,6.21647438247403e-80
RPL38,-19.212774,-0.33637264,2.893764252690393e-82,1.005963836264213e-79
CALR,19.199955,1.3058474,3.7040719649586884e-82,1.2709296274572538e-79
PDIA6,19.108765,1.3891189,2.134652632303802e-81,7.230451608393134e-79
PSME2,19.08122,1.1343031,3.617172755581191e-81,1.2096924582589249e-78
SMS,19.068136,1.6303504,4.645697168353588e-81,1.5342414898487724e-78
PARK7,19.04971,1.1032658,6.606805232971487e-81,2.1549604229025515e-78
RNF145,19.023129,1.3388643,1.0973682916832991e-80,3.53566710564302e-78
IL32,18.960865,1.008892,3.59182861962079e-80,1.1433266521732683e-77
SNRPB,18.95833,1.2633291,3.7691855123544e-80,1.1854985861476578e-77
CREM,18.868683,1.3173476,2.0638065519914046e-79,6.41479636513093e-77
RBM8A,18.867262,1.2355042,2.1200026680939312e-79,6.512845405935077e-77
LTA,18.80089,2.1216912,7.4259994992276e-79,2.255113870914864e-76
TOMM7,-18.800005,-0.57797927,7.550982268189871e-79,2.2670108127906406e-76
RPL13,-18.776318,-0.27620825,1.179839114498741e-78,3.5023988095569367e-76
POLR2L,18.720318,1.1279116,3.381235605074612e-78,9.816730185282554e-76
CYCS,18.720375,1.3291283,3.3775885492055756e-78,9.816730185282554e-76
TMSB10,18.67736,0.5948742,7.5670616117257105e-78,2.1730626932803617e-75
COX17,18.60684,1.3101146,2.828153258951678e-77,8.034388075430465e-75
CD63,18.580761,1.4147254,4.599334039246974e-77,1.2927064395415432e-74
DESI1,18.523954,1.799778,1.3234928863253226e-76,3.680703374391055e-74
DBI,18.522127,1.2848366,1.3692090224013917e-76,3.7681773304004965e-74
ATP1B3,18.439482,1.6206546,6.334446225911696e-76,1.725320301944196e-73
RPL19,-18.426744,-0.239171,8.016518225510176e-76,2.1611878726324373e-73
DDIT4,18.419765,1.3747183,9.119832745999132e-76,2.433797789386839e-73
RPS6,-18.414335,-0.30340365,1.0081879520853628e-75,2.6636325694095284e-73
SARAF,-18.386772,-0.8199994,1.6767217680630643e-75,4.386038525962986e-73
POMP,18.364567,1.1741439,2.5245168650582773e-75,6.538993683807812e-73
HSPE1,18.30412,1.2514119,7.672282990606798e-75,1.967977831182831e-72
EEF1A1,-18.266563,-0.45345616,1.5277249527448244e-74,3.8810089664921405e-72
RPL26,-18.26573,-0.26995787,1.5512336889834752e-74,3.9031994345660395e-72
FKBP1A,18.15426,1.2300553,1.188170082338245e-73,2.9614578844694743e-71
SNRPG,18.140966,1.0563071,1.5134433544366318e-73,3.736932095721104e-71
CFLAR,18.061813,1.2824606,6.369612291705375e-73,1.5581958958042224e-70
SURF4,18.038046,1.4416062,9.794739975442357e-73,2.3741011940475875e-70
SRSF9,18.035982,1.1485112,1.0167360322301714e-72,2.4420150883201025e-70
GTF3C6,17.949556,1.4741613,4.837605853169114e-72,1.1514373571236757e-69
SOD1,17.908361,0.97284687,1.0147917636347411e-71,2.3938212852883804e-69
CLIC1,17.893478,1.2417687,1.3256834943389167e-71,3.099518400038423e-69
DDX21,17.851295,1.2806922,2.8240718365421074e-71,6.544910343986181e-69
AC073621.1,-17.840868,-0.38701063,3.403677511410411e-71,7.819579117518528e-69
NAMPT,17.827925,1.742919,4.290507567568231e-71,9.772000856478677e-69
RPS10,-17.816399,-0.3147855,5.272277883533936e-71,1.1905434331877485e-68
COX5A,17.814922,1.2459164,5.413334615574711e-71,1.2120364452837616e-68
GIMAP7,-17.66909,-1.2771906,7.255746049328047e-70,1.61089756826258e-67
VCP,17.661055,1.5239012,8.366287045066502e-70,1.8419775310888083e-67
BOLA2B,17.651531,1.1778879,9.903389953658621e-70,2.1623765502120725e-67
COX6A1,17.61166,1.0169773,2.00479686909741e-69,4.34153551488144e-67
PKM,17.589933,1.0289214,2.942249126635573e-69,6.319855441114784e-67
RPS23,-17.577982,-0.27700317,3.6327827754701244e-69,7.740171042574248e-67
FAM96B,17.534302,1.1591321,7.840692181079518e-69,1.657208699392967e-66
JPT1,17.421732,1.4939812,5.644333972768305e-68,1.1835182822264969e-65
SERBP1,17.40391,1.0553904,7.705799378171548e-68,1.6030489730023018e-65
AL031727.1,-17.388016,-0.52104044,1.016941193885332e-67,2.0990301830039433e-65
PSMB2,17.288834,1.3791802,5.709587361914318e-67,1.1693589000137696e-64
AC004453.1,-17.28504,-0.42290643,6.097945730616241e-67,1.2392902015606236e-64
RPL21P16,-17.27924,-0.5162818,6.743144763243237e-67,1.3599533178998955e-64
PSMB3,17.272696,1.1872948,7.553181008761349e-67,1.5117806231172337e-64
ODC1,17.271545,1.7050418,7.705179683946975e-67,1.5306078740592412e-64
RANBP1,17.150026,1.2474326,6.282356211213688e-66,1.2386556052258627e-63
RPS15AP1,-17.136906,-0.51320434,7.873046944033702e-66,1.5407844463805216e-63
TXNDC17,17.133743,1.4666448,8.312871070084686e-66,1.614897453467922e-63
PMVK,17.129879,1.6713496,8.884061570008777e-66,1.7132620925520574e-63
STARD7,17.113108,1.6322874,1.1850643551426794e-65,2.2687971204977962e-63
NDUFB8,17.104061,1.0426897,1.384134090111222e-65,2.630850551132265e-63
MYDGF,17.061213,1.2552652,2.8850709976402023e-65,5.444541125546724e-63
WARS,17.027824,1.6845609,5.106776597585433e-65,9.568867922567881e-63
UQCRQ,17.01558,1.0638039,6.2946678358952405e-65,1.1711628466503678e-62
CD74,16.946314,1.1504403,2.049072090211017e-64,3.785768155480774e-62
PSMB6,16.938929,1.2446983,2.3231499548817743e-64,4.262334847776144e-62
ZBTB32,16.908968,3.3606927,3.864168201719431e-64,7.040780957891543e-62
NOP10,16.854792,1.060531,9.674984087737202e-64,1.750774517794636e-61
SEC61B,16.85202,0.9741364,1.0139149737430123e-63,1.8222880004279175e-61
SNRPD1,16.848553,1.2422262,1.0751203105639832e-63,1.9192350408851645e-61
NOP53,-16.845507,-0.5796216,1.1319483761028454e-63,2.0071192011165888e-61
TUBB4B,16.797426,1.4484534,2.5486579750129216e-63,4.489036246656092e-61
RPL39,-16.752941,-0.24213257,5.38945586114253e-63,9.429763168965937e-61
SLIRP,16.720236,1.2112826,9.335050816208109e-63,1.6225792273961726e-60
EIF3E,-16.707603,-0.63071376,1.1538203372558357e-62,1.9924139418496195e-60
YWHAB,16.69177,0.97707856,1.5044090011687675e-62,2.580940637070054e-60
NDUFS6,16.671972,1.215711,2.0956112230452217e-62,3.549105673900946e-60
PRMT1,16.672249,1.2864599,2.0859585870357015e-62,3.549105673900946e-60
STIP1,16.667055,1.441985,2.2753108386337463e-62,3.828898876223158e-60
NME1,16.652391,1.5240605,2.9075105518000086e-62,4.8617992897820396e-60
ATOX1,16.650469,1.4981284,3.0024561064602703e-62,4.988986813376122e-60
ADRM1,16.632854,1.2788491,4.029327262200065e-62,6.653426641707858e-60
COX7A2,16.601927,0.78420603,6.74886927920696e-62,1.1074852568735893e-59
PSMA4,16.540375,1.1641821,1.8784966546983337e-61,3.063572939329011e-59
AC016831.5,16.535742,1.3575711,2.0286610705026896e-61,3.2881733424957706e-59
GAPDH,16.532743,0.74519634,2.1321339674963864e-61,3.4348158183691784e-59
ANXA2,16.528166,1.5844955,2.300407795537219e-61,3.68344084594505e-59
CFL1,16.51438,0.68625474,2.8911667843722092e-61,4.601483520669504e-59
LY6E,16.481571,1.0786492,4.977505227576966e-61,7.8745921025499075e-59
SRM,16.461264,1.3069829,6.963154592899282e-61,1.0950389544309467e-58
PRDM1,16.44193,1.6576574,9.581618987347722e-61,1.4979075363652474e-58
RPL14,-16.441515,-0.24842885,9.647744240770279e-61,1.499372957889122e-58
CDK2AP2,16.419342,1.2397608,1.3906559172962226e-60,2.1486040546763862e-58
SFT2D1,16.417936,1.4972779,1.423241701632316e-60,2.1861654509956853e-58
CKS2,16.408575,1.76137,1.6605614657300163e-60,2.5359557181842214e-58
ARID5A,16.392405,1.1098101,2.1669932805260578e-60,3.290342670775773e-58
SEC61G,16.33486,0.92938536,5.576089290464035e-60,8.41830166023199e-58
SDF4,16.311728,1.3679346,8.145667856201789e-60,1.2227758225048368e-57
RHOG,16.261597,1.1588876,1.8485615076746308e-59,2.759265256088347e-57
FAS,16.24824,1.6459674,2.298681359311711e-59,3.4118630063491796e-57
ERH,16.232662,1.0368651,2.9632597122967204e-59,4.37370511725583e-57
HSP90AB1,16.217009,0.9108172,3.823701357799923e-59,5.612343881837442e-57
EIF4G2,16.21406,1.0631574,4.0117154870599625e-59,5.855774760669845e-57
AC017002.3,16.190126,2.3856096,5.920767897356675e-59,8.594872958690294e-57
MIR4435-2HG,16.182741,2.004187,6.675468254368347e-59,9.637479304940532e-57
GADD45B,16.179323,1.3180398,7.056489433198662e-59,1.0132198414408079e-56
GNG5,16.172678,1.0795578,7.860496905532518e-59,1.1225639364549684e-56
RPS27AP16,-16.158333,-0.50459206,9.920786259967373e-59,1.4091783493996665e-56
ELOC,16.095934,1.1573056,2.724337247352272e-58,3.849036902408932e-56
SRSF2,16.09543,0.94742996,2.7465683814367665e-58,3.8598051402957114e-56
SDF2L1,16.065329,1.3253092,4.464979187907976e-58,6.241521171668186e-56
DUSP2,16.064634,1.5426396,4.515136975160484e-58,6.278416783354735e-56
NDUFB2,16.017136,1.0040143,9.70186342679065e-58,1.342006448878581e-55
PTPN7,15.994359,1.2755622,1.3989007180117402e-57,1.9249456755140716e-55
AC024293.1,-15.980905,-0.34844437,1.7360742876915995e-57,2.376532781389226e-55
RPL22L1,15.960087,1.1748708,2.4239503451464484e-57,3.3010705215860396e-55
LAMTOR5,15.950909,1.0647541,2.8078004063644385e-57,3.804209576212742e-55
TOMM40,15.916555,1.4158572,4.864265810463461e-57,6.556831771043095e-55
ARF6,15.90566,0.93667656,5.789049755706287e-57,7.763791601307619e-55
ATP5E,15.904611,0.49087372,5.886842617627409e-57,7.85506979584425e-55
PFDN2,15.890328,1.2023592,7.393952663600345e-57,9.816493938307594e-55
TRAF4,15.888316,1.8491106,7.635108820208755e-57,1.0085978751495765e-54
SELENOT,15.876845,1.1505716,9.167512493688361e-57,1.2050033834987388e-54
HERPUD1,15.873339,1.2226902,9.694442768120023e-57,1.2679563264046089e-54
DNAJA1,15.8469095,1.099057,1.4766651596670152e-56,1.921846971349879e-54
UBE2D3,15.843785,0.7846826,1.5519123605504175e-56,2.0098786551834327e-54
CISD3,15.822631,1.4120557,2.1722395319346202e-56,2.7859499239666344e-54
PHB,15.8227625,1.2542728,2.1676819483432057e-56,2.7859499239666344e-54
FURIN,15.78279,1.808226,4.08713010536046e-56,5.216520646551852e-54
ELOB,15.749293,0.8271831,6.945271842157286e-56,8.821830868740168e-54
ARPC5L,15.745792,1.1731126,7.340533640169209e-56,9.279277453266531e-54
UBB,15.7234745,0.8863742,1.0443657674267755e-55,1.3139115988293051e-53
SLC25A39,15.7157135,1.3369143,1.1804452781214158e-55,1.4780741349747775e-53
GNA15,15.711161,2.362363,1.2683538448071e-55,1.5806560650850743e-53
CYTOR,15.703883,1.2326512,1.4226099960470778e-55,1.7645707087119153e-53
USMG5,15.693636,0.8520882,1.6719692095077025e-55,2.0641788091211917e-53
