names,scores,logfoldchanges,pvals,pvals_adj
ANP32B,18.63677,1.6703115,1.6171235225917268e-77,5.503668979985822e-75
HAX1,18.612383,1.7102077,2.5501982157907213e-77,8.585941541357341e-75
MIR1244-2,18.586655,1.829957,4.120902329075841e-77,1.372655030060571e-74
PRMT1,18.56419,1.7682127,6.262537480641617e-77,2.0640664321723124e-74
ATP5G1,18.558577,1.682132,6.952192661408352e-77,2.267501087722468e-74
TPM3,18.55358,1.7008783,7.629847033919954e-77,2.4628674276192543e-74
TIMM13,18.548939,1.793708,8.31769116624619e-77,2.6575023276156576e-74
CYCS,18.540926,1.7704436,9.65435676932434e-77,3.0534097454981255e-74
ARF1,18.539206,1.6719127,9.968326937001338e-77,3.121182847244489e-74
PPP1R18,18.527822,1.9040432,1.2317310789068618e-76,3.818488298183441e-74
PDIA6,18.523746,1.7771754,1.3286212400304349e-76,4.078476435940485e-74
STAT1,18.516733,1.8116001,1.5134545561604927e-76,4.600754913392348e-74
BOLA2B,18.458878,1.7532125,4.424427078033074e-76,1.3320503484643613e-73
JPT1,18.422697,1.7169317,8.639067265313476e-76,2.5761698585164784e-73
ENO1,18.418629,1.8087971,9.31320873660357e-76,2.7509988561490037e-73
PA2G4,18.416893,1.6825897,9.616672660356575e-76,2.8140900716675207e-73
CCT6A,18.414825,1.6899602,9.990929827371792e-76,2.896537072452205e-73
RHOH,18.412209,1.6723008,1.0485932759986652e-75,3.012156336219652e-73
PPP1CA,18.34459,1.6002059,3.6467813668240027e-75,1.0380397397875123e-72
MRPL23,18.343493,1.849378,3.721094162578251e-75,1.0402783868257822e-72
ARF6,18.34352,1.7194866,3.7192288272823915e-75,1.0402783868257822e-72
SSRP1,18.315228,1.9095314,6.256509167473348e-75,1.73360671276777e-72
GARS,18.310146,2.0973535,6.868600460916109e-75,1.886515342383722e-72
SNRPB,18.30076,1.6469251,8.160316785950113e-75,2.2218059033468172e-72
TMEM167A,18.295416,1.7159047,9.001186525770628e-75,2.429621994037967e-72
PSMC3,18.289745,1.673689,9.988164261883825e-75,2.672986420545679e-72
HCLS1,18.276062,1.6823391,1.2836871417411026e-74,3.4062311944962425e-72
MRPS12,18.27218,1.724923,1.378314636146145e-74,3.6265890396951215e-72
PSMD8,18.266409,1.5970279,1.5320675280675376e-74,3.9975471976102225e-72
RNPS1,18.264053,1.6819654,1.5996536442831343e-74,4.1394012608387785e-72
RAC2,18.24345,1.6137328,2.3325747492939193e-74,5.986495735667369e-72
RPL22L1,18.242607,1.7835246,2.368823658638286e-74,6.03010061590434e-72
DNPH1,18.237333,1.7967267,2.6088031880687623e-74,6.587438437227502e-72
FAS,18.232235,2.1876974,2.863777525633461e-74,7.173419048408744e-72
MIF,18.226868,1.7785941,3.1590503458975332e-74,7.85024010955537e-72
LSM6,18.209303,1.6747319,4.3545273625189115e-74,1.073579576754564e-71
CALM3,18.207136,1.7256079,4.5303774085450826e-74,1.1082081799918365e-71
SRSF7,18.19232,1.622674,5.937314170865172e-74,1.4411104186353442e-71
RBPJ,18.163254,1.868409,1.0086435397011097e-73,2.429356759352419e-71
NDUFB8,18.1604,1.627345,1.062456388261257e-73,2.5394329750265815e-71
